Parent	Type	Child	Weight	Probability	Score
NR5A1	-	DMRT1	-0.043382	0.199682	-0.013367
PGD2	-	DMRT1	-0.033578	0.458121	-0.023737
RSPO1	+	DMRT1	0.025064	0.127155	0.004918
SOX9	-	DMRT1	-0.014789	0.333034	-0.007600
SRY	+	DMRT1	0.046450	0.177883	0.012750
UGR	-	DMRT1	-0.009896	0.042402	-0.000648
WNT4	+	DMRT1	0.069038	0.713924	0.076057
WT1mKTS	-	DMRT1	-0.019042	0.108270	-0.003181
WT1pKTS	+	DMRT1	0.101670	0.999606	0.156828
AMH	+	FGF9	0.001268	0.435685	0.000852
CBX2	+	FGF9	0.004488	0.080770	0.000559
CTNNB1	-	FGF9	-0.000263	0.075307	-0.000031
DHH	-	FGF9	-0.001508	0.428724	-0.000998
DKK1	+	FGF9	0.000980	0.104530	0.000158
DMRT1	-	FGF9	-0.000185	0.111518	-0.000032
FGF9	+	FGF9	0.005299	0.454946	0.003720
FOXL2	+	FGF9	0.003582	0.095058	0.000525
GATA4	+	FGF9	0.011524	0.885117	0.015739
NR0B1	+	FGF9	0.000190	0.076622	0.000022
NR5A1	-	FGF9	-0.003245	0.066489	-0.000333
PGD2	+	FGF9	0.007041	0.457692	0.004973
RSPO1	+	FGF9	0.001809	0.083277	0.000232
SOX9	+	FGF9	0.006000	0.339260	0.003141
SRY	-	FGF9	-0.001765	0.027535	-0.000075
UGR	+	FGF9	0.000819	0.027087	0.000034
WNT4	-	FGF9	-0.000980	0.078242	-0.000118
WT1mKTS	+	FGF9	0.005479	0.148917	0.001259
WT1pKTS	+	FGF9	0.002249	0.056065	0.000195
AMH	+	FOXL2	0.180755	0.497234	0.138692
CBX2	-	FOXL2	-0.170293	0.485407	-0.127557
CTNNB1	-	FOXL2	-0.049970	0.171894	-0.013255
DHH	-	FOXL2	-0.070811	0.439504	-0.048025
DKK1	+	FOXL2	0.317008	0.793478	0.388156
DMRT1	+	FOXL2	0.273211	0.639935	0.269796
FGF9	+	FOXL2	0.237692	0.543535	0.199363
FOXL2	+	FOXL2	0.603564	1.000000	0.931374
GATA4	+	FOXL2	0.314050	0.337448	0.163533
NR0B1	+	FOXL2	0.374487	0.979952	0.566294
NR5A1	-	FOXL2	-0.198569	0.755888	-0.231617
PGD2	+	FOXL2	0.045171	0.445590	0.031060
RSPO1	+	FOXL2	0.066336	0.054392	0.005568
SOX9	-	FOXL2	-0.150282	0.396089	-0.091855
SRY	-	FOXL2	-0.343365	0.998672	-0.529152
UGR	-	FOXL2	-0.012800	0.051623	-0.001020
WNT4	-	FOXL2	-0.053252	0.198381	-0.016302
WT1mKTS	+	FOXL2	0.323567	0.452193	0.225782
WT1pKTS	-	FOXL2	-0.245847	0.976459	-0.370442
AMH	+	GATA4	0.323754	0.754791	0.377088
CBX2	+	GATA4	0.055072	0.107186	0.009109
CTNNB1	+	GATA4	0.223257	0.990423	0.341214
DHH	+	GATA4	0.169759	0.549702	0.144000
DKK1	+	GATA4	0.226180	0.876886	0.306054
DMRT1	+	GATA4	0.159775	0.548306	0.135186
FGF9	+	GATA4	0.124367	0.510941	0.098056
FOXL2	+	GATA4	0.281009	0.999999	0.433631
GATA4	+	GATA4	0.369107	1.000000	0.569578
NR0B1	+	GATA4	0.222263	0.983327	0.337261
NR5A1	+	GATA4	0.352224	1.000000	0.543525
PGD2	-	GATA4	-0.095759	0.483325	-0.071420
RSPO1	+	GATA4	0.222270	0.988354	0.338995
SOX9	+	GATA4	0.132271	0.441827	0.090181
SRY	-	GATA4	-0.078863	0.167262	-0.020355
UGR	+	GATA4	0.275713	0.999994	0.425457
WNT4	+	GATA4	0.169702	0.473800	0.124075
WT1mKTS	+	GATA4	0.192871	0.740881	0.220504
WT1pKTS	+	GATA4	0.239885	0.999898	0.370134
AMH	-	NR0B1	-0.160934	0.543368	-0.134941
CBX2	-	NR0B1	-0.076697	0.188362	-0.022293
CTNNB1	+	NR0B1	0.239095	0.998961	0.368570
DHH	+	NR0B1	0.162834	0.540163	0.135728
DKK1	+	NR0B1	0.050500	0.154561	0.012045
DMRT1	+	NR0B1	0.009100	0.131983	0.001853
FGF9	+	NR0B1	0.102222	0.490439	0.077362
FOXL2	+	NR0B1	0.311084	1.000000	0.480040
GATA4	+	NR0B1	0.194688	0.715570	0.214977
NR0B1	+	NR0B1	0.370777	1.000000	0.572155
NR5A1	+	NR0B1	0.042269	0.089091	0.005811
PGD2	-	NR0B1	-0.099839	0.486115	-0.074893
RSPO1	+	NR0B1	0.032871	0.069399	0.003520
SOX9	-	NR0B1	-0.013679	0.326134	-0.006884
SRY	+	NR0B1	0.206010	0.966401	0.307219
UGR	-	NR0B1	-0.417222	1.000000	-0.643825
WNT4	+	NR0B1	0.224477	0.978704	0.339019
WT1mKTS	+	NR0B1	0.318775	1.000000	0.491909
WT1pKTS	+	NR0B1	0.266473	0.999999	0.411200
AMH	+	NR5A1	0.018003	0.436737	0.012133
CBX2	+	NR5A1	0.272624	0.999999	0.420692
CTNNB1	-	NR5A1	-0.044774	0.124878	-0.008628
DHH	+	NR5A1	0.157544	0.542794	0.131958
DKK1	-	NR5A1	-0.160550	0.582576	-0.144332
DMRT1	-	NR5A1	-0.311204	0.996186	-0.478395
FGF9	-	NR5A1	-0.068052	0.467986	-0.049144
FOXL2	+	NR5A1	0.020128	0.078236	0.002430
GATA4	+	NR5A1	0.127104	0.842804	0.165305
NR0B1	-	NR5A1	-0.055367	0.148930	-0.012724
NR5A1	+	NR5A1	0.430669	1.000000	0.664576
PGD2	+	NR5A1	0.086805	0.477735	0.063993
RSPO1	-	NR5A1	-0.134639	0.848422	-0.176271
SOX9	+	NR5A1	0.171344	0.521893	0.137991
SRY	+	NR5A1	0.312191	1.000000	0.481749
UGR	+	NR5A1	0.303643	1.000000	0.468559
WNT4	+	NR5A1	0.091214	0.349568	0.049203
WT1mKTS	+	NR5A1	0.038888	0.118879	0.007134
WT1pKTS	+	NR5A1	0.186763	0.999307	0.287998
AMH	-	PGD2	-0.010885	0.472682	-0.007940
CBX2	-	PGD2	-0.001488	0.048225	-0.000111
CTNNB1	+	PGD2	0.004890	0.078140	0.000590
DHH	+	PGD2	0.000210	0.428116	0.000139
DKK1	-	PGD2	-0.005141	0.145322	-0.001153
DMRT1	+	PGD2	0.006488	0.164600	0.001648
FGF9	-	PGD2	-0.004885	0.452925	-0.003414
FOXL2	+	PGD2	0.006389	0.095779	0.000944
GATA4	+	PGD2	0.002283	0.078313	0.000276
NR0B1	+	PGD2	0.008058	0.071292	0.000886
NR5A1	+	PGD2	0.002588	0.062825	0.000251
PGD2	+	PGD2	0.025514	0.606972	0.023897
RSPO1	-	PGD2	-0.003038	0.122846	-0.000576
SOX9	+	PGD2	0.000584	0.322561	0.000291
SRY	-	PGD2	-0.003307	0.047554	-0.000243
UGR	+	PGD2	0.008802	0.156584	0.002127
WNT4	+	PGD2	0.002787	0.075898	0.000326
WT1mKTS	+	PGD2	0.000777	0.085701	0.000103
WT1pKTS	+	PGD2	0.009407	0.228541	0.003317
AMH	+	RSPO1	0.005875	0.435798	0.003951
CBX2	-	RSPO1	-0.347345	1.000000	-0.535996
CTNNB1	+	RSPO1	0.311764	0.999336	0.480770
DHH	-	RSPO1	-0.031434	0.432344	-0.020972
DKK1	+	RSPO1	0.430020	0.999885	0.663497
DMRT1	+	RSPO1	0.154934	0.430415	0.102905
FGF9	+	RSPO1	0.677672	0.956268	1.000000
FOXL2	+	RSPO1	0.213442	0.718704	0.236718
GATA4	+	RSPO1	0.285581	0.969264	0.427141
NR0B1	+	RSPO1	0.246430	0.726399	0.276229
NR5A1	-	RSPO1	-0.250812	0.997929	-0.386233
PGD2	+	RSPO1	0.036093	0.446032	0.024842
RSPO1	+	RSPO1	0.305580	0.998502	0.470841
SOX9	+	RSPO1	0.235192	0.559615	0.203102
SRY	-	RSPO1	-0.110824	0.230765	-0.039464
UGR	-	RSPO1	-0.053019	0.087139	-0.007129
WNT4	+	RSPO1	0.176890	0.105573	0.028818
WT1mKTS	+	RSPO1	0.291046	0.981908	0.440995
WT1pKTS	+	RSPO1	0.158306	0.470928	0.115041
AMH	-	SOX9	-0.021828	0.492185	-0.016579
CBX2	-	SOX9	-0.021838	0.408004	-0.013749
CTNNB1	+	SOX9	0.006815	0.090428	0.000951
DHH	-	SOX9	-0.003742	0.429691	-0.002481
DKK1	-	SOX9	-0.002156	0.114089	-0.000380
DMRT1	+	SOX9	0.006031	0.131895	0.001227
FGF9	-	SOX9	-0.004615	0.447697	-0.003188
FOXL2	-	SOX9	-0.001488	0.065854	-0.000151
GATA4	+	SOX9	0.002219	0.081013	0.000277
NR0B1	+	SOX9	0.001991	0.080670	0.000248
NR5A1	+	SOX9	0.018677	0.267129	0.007699
PGD2	-	SOX9	-0.000061	0.440971	-0.000042
RSPO1	-	SOX9	-0.005862	0.116805	-0.001057
SOX9	-	SOX9	-0.000721	0.323020	-0.000359
SRY	+	SOX9	0.006711	0.056550	0.000586
UGR	+	SOX9	0.001041	0.032720	0.000053
WNT4	+	SOX9	0.018407	0.404745	0.011497
WT1mKTS	+	SOX9	0.002294	0.081173	0.000287
WT1pKTS	+	SOX9	0.014836	0.201289	0.004608
AMH	-	SRY	-0.136362	0.529655	-0.111451
CBX2	-	SRY	-0.078653	0.222771	-0.027038
CTNNB1	+	SRY	0.041995	0.089056	0.005771
DHH	+	SRY	0.045519	0.440028	0.030908
DKK1	-	SRY	-0.267261	0.981583	-0.404821
DMRT1	-	SRY	-0.230706	0.911314	-0.324435
FGF9	-	SRY	-0.061265	0.465633	-0.044021
FOXL2	-	SRY	-0.049588	0.166422	-0.012735
GATA4	-	SRY	-0.011248	0.096760	-0.001679
NR0B1	-	SRY	-0.050196	0.211737	-0.016401
NR5A1	+	SRY	0.239494	0.999969	0.369558
PGD2	-	SRY	-0.035649	0.448089	-0.024650
RSPO1	-	SRY	-0.020933	0.101256	-0.003271
SOX9	-	SRY	-0.207361	0.620785	-0.198641
SRY	+	SRY	0.468839	1.000000	0.723477
UGR	+	SRY	0.399156	0.000000	0.000000
WNT4	+	SRY	0.194743	0.996754	0.299537
WT1mKTS	+	SRY	0.239426	0.000000	0.000000
WT1pKTS	+	SRY	0.218419	0.999995	0.337047
AMH	+	UGR	0.144402	0.639427	0.142483
CBX2	+	UGR	0.128396	0.995038	0.197147
CTNNB1	+	UGR	0.034671	0.153729	0.008225
DHH	-	UGR	-0.033481	0.443091	-0.022892
DKK1	+	UGR	0.042595	0.194429	0.012780
DMRT1	+	UGR	0.023636	0.159260	0.005809
FGF9	+	UGR	0.035345	0.461053	0.025146
FOXL2	+	UGR	0.068149	0.568300	0.059763
GATA4	+	UGR	0.095852	0.967700	0.143134
NR0B1	-	UGR	-0.160291	1.000000	-0.247349
NR5A1	+	UGR	0.104519	0.934209	0.150675
PGD2	+	UGR	0.286195	0.901909	0.398314
RSPO1	+	UGR	0.044967	0.218983	0.015195
SOX9	-	UGR	-0.043778	0.360982	-0.024386
SRY	+	UGR	0.184853	0.000000	0.000000
UGR	+	UGR	0.482393	1.000000	0.744392
WNT4	-	UGR	-0.134900	0.999939	-0.208155
WT1mKTS	+	UGR	0.116453	0.998825	0.179490
WT1pKTS	+	UGR	0.053036	0.252502	0.020665
AMH	+	WNT4	0.087782	0.464658	0.062942
CBX2	+	WNT4	0.264130	0.000000	0.000000
CTNNB1	+	WNT4	0.173921	0.259726	0.069706
DHH	+	WNT4	0.107942	0.472751	0.078745
DKK1	+	WNT4	0.046922	0.155780	0.011280
DMRT1	+	WNT4	0.072407	0.192565	0.021516
FGF9	+	WNT4	0.559555	0.923890	0.797745
FOXL2	+	WNT4	0.324831	1.000000	0.501255
GATA4	+	WNT4	0.286004	0.997423	0.440202
NR0B1	+	WNT4	0.355101	1.000000	0.547964
NR5A1	+	WNT4	0.160303	0.593165	0.146730
PGD2	-	WNT4	-0.029514	0.445340	-0.020282
RSPO1	+	WNT4	0.212696	0.689024	0.226149
SOX9	+	WNT4	0.043643	0.336298	0.022648
SRY	+	WNT4	0.196809	0.825245	0.250628
UGR	-	WNT4	-0.439299	1.000000	-0.677892
WNT4	+	WNT4	0.265477	0.985760	0.403829
WT1mKTS	+	WNT4	0.149823	0.073296	0.016946
WT1pKTS	+	WNT4	0.308243	1.000000	0.475656
AMH	+	WT1mKTS	0.025140	0.438865	0.017026
CBX2	+	WT1mKTS	0.054100	0.106639	0.008903
CTNNB1	+	WT1mKTS	0.142323	0.362782	0.079675
DHH	+	WT1mKTS	0.070799	0.453424	0.049537
DKK1	+	WT1mKTS	0.081285	0.253855	0.031842
DMRT1	+	WT1mKTS	0.150081	0.497166	0.115141
FGF9	+	WT1mKTS	0.167477	0.559874	0.144692
FOXL2	+	WT1mKTS	0.277543	1.000000	0.428283
GATA4	+	WT1mKTS	0.366646	1.000000	0.565781
NR0B1	+	WT1mKTS	0.274834	0.999998	0.424102
NR5A1	+	WT1mKTS	0.245429	0.999940	0.378705
PGD2	-	WT1mKTS	-0.007732	0.442198	-0.005276
RSPO1	+	WT1mKTS	0.149630	0.431249	0.099575
SOX9	+	WT1mKTS	0.333984	0.848234	0.437161
SRY	+	WT1mKTS	0.237484	0.000000	0.000000
UGR	+	WT1mKTS	0.274340	0.999990	0.423337
WNT4	+	WT1mKTS	0.146802	0.311590	0.070586
WT1mKTS	+	WT1mKTS	0.276097	0.999991	0.426048
WT1pKTS	+	WT1mKTS	0.276756	1.000000	0.427069
AMH	-	WT1pKTS	-0.084651	0.452089	-0.059055
CBX2	+	WT1pKTS	0.198851	0.639714	0.196297
CTNNB1	+	WT1pKTS	0.153675	0.491462	0.116545
DHH	+	WT1pKTS	0.132926	0.469049	0.096212
DKK1	-	WT1pKTS	-0.091484	0.190187	-0.026849
DMRT1	-	WT1pKTS	-0.071166	0.174590	-0.019173
FGF9	-	WT1pKTS	-0.191713	0.520985	-0.154127
FOXL2	+	WT1pKTS	0.421525	0.000000	0.000000
GATA4	+	WT1pKTS	0.013836	0.087560	0.001869
NR0B1	+	WT1pKTS	0.350790	0.000000	0.000000
NR5A1	+	WT1pKTS	0.464789	1.000000	0.717227
PGD2	-	WT1pKTS	-0.040112	0.444955	-0.027542
RSPO1	+	WT1pKTS	0.162527	0.595856	0.149441
SOX9	+	WT1pKTS	0.101693	0.361083	0.056663
SRY	+	WT1pKTS	0.336656	0.998218	0.518577
UGR	+	WT1pKTS	0.291307	0.980009	0.440537
WNT4	+	WT1pKTS	0.181007	0.738807	0.206361
WT1mKTS	-	WT1pKTS	-0.045451	0.105001	-0.007364
WT1pKTS	+	WT1pKTS	0.495163	1.000000	0.764098
