,PseudoTime1,PseudoTime2,PseudoTime3
E1934_342,0.42732,NA,NA
E1870_457,0.57143,NA,NA
E1617_727,0.90977,NA,NA
E974_90,NA,NA,0.11153
E2019_137,NA,0.17043,NA
E2482_474,0.59273,NA,NA
E1735_506,NA,NA,0.63283
E1658_797,NA,0.99749,NA
E887_568,0.71053,NA,NA
E1010_686,0.8584,NA,NA
E341_337,NA,NA,0.42105
E241_767,NA,NA,0.9599
E1353_589,NA,NA,0.73684
E4709_648,NA,NA,0.81078
E3688_425,0.53133,NA,NA
E983_399,0.49875,NA,NA
E368_674,0.84336,NA,NA
E1093_179,0.22306,NA,NA
E3379_766,NA,NA,0.95865
E297_302,NA,NA,0.37719
E2590_734,NA,NA,0.91855
E2577_237,NA,0.29574,NA
E400_32,NA,0.03885,NA
E2148_758,0.94862,NA,NA
E3061_511,NA,0.6391,NA
E301_685,NA,0.85714,NA
E4812_650,NA,0.81328,NA
E4012_96,NA,0.11905,NA
E1590_792,0.99123,NA,NA
E2276_230,NA,0.28697,NA
E1276_501,0.62657,NA,NA
E3111_606,0.75815,NA,NA
E2203_735,NA,0.9198,NA
E4693_639,NA,0.7995,NA
E495_38,NA,NA,0.04637
E3151_444,NA,NA,0.55514
E4025_509,0.63659,NA,NA
E3773_103,0.12782,NA,NA
E1271_253,NA,NA,0.31579
E3697_157,0.19549,NA,NA
E1613_488,NA,0.61028,NA
E4574_51,0.06266,NA,NA
E3418_692,0.86591,NA,NA
E335_568,NA,NA,0.71053
E1136_476,NA,NA,0.59524
E1283_264,NA,0.32957,NA
E458_62,NA,0.07644,NA
E2575_680,NA,NA,0.85088
E4276_124,0.15414,NA,NA
E936_474,NA,NA,0.59273
E909_368,0.4599,NA,NA
E4220_572,NA,0.71554,NA
E2010_62,0.07644,NA,NA
E2385_770,NA,NA,0.96366
E270_1,NA,0.0,NA
E223_358,NA,NA,0.44737
E2814_559,0.69925,NA,NA
E267_722,0.90351,NA,NA
E3729_395,0.49373,NA,NA
E7_627,0.78446,NA,NA
E1035_159,NA,NA,0.19799
E1885_343,0.42857,NA,NA
E1533_266,NA,NA,0.33208
E1995_469,NA,0.58647,NA
E2112_384,0.47995,NA,NA
E2135_89,NA,0.11028,NA
E4607_530,0.66291,NA,NA
E1025_764,NA,NA,0.95614
E4345_70,NA,NA,0.08647
E4246_100,NA,0.12406,NA
E2596_506,NA,NA,0.63283
E1702_373,NA,NA,0.46617
E4517_401,0.50125,NA,NA
E4120_482,0.60276,NA,NA
E3732_151,NA,0.18797,NA
E4149_473,NA,0.59148,NA
E1507_635,NA,0.79449,NA
E1085_5,NA,NA,0.00501
E3864_193,NA,NA,0.2406
E2424_292,NA,0.36466,NA
E4194_305,0.38095,NA,NA
E2232_365,NA,0.45614,NA
E3691_656,0.8208,NA,NA
E34_647,NA,NA,0.80952
E2070_750,NA,NA,0.9386
E317_705,0.88221,NA,NA
E3009_94,NA,NA,0.11654
E1766_569,0.71178,NA,NA
E4571_363,NA,0.45363,NA
E1087_369,NA,0.46115,NA
E2058_736,0.92105,NA,NA
E4218_92,NA,0.11404,NA
E4214_539,NA,NA,0.67419
E2718_589,NA,NA,0.73684
E959_499,0.62406,NA,NA
E741_545,NA,NA,0.6817
E731_591,0.73935,NA,NA
E4255_765,NA,NA,0.95739
E508_356,0.44486,NA,NA
E170_746,NA,NA,0.93358
E1707_109,0.13534,NA,NA
E1655_659,0.82456,NA,NA
E1825_142,NA,0.17669,NA
E1219_652,NA,NA,0.81579
E2966_790,NA,0.98872,NA
E861_183,0.22807,NA,NA
E1162_249,0.31078,NA,NA
E2766_19,NA,0.02256,NA
E2047_681,NA,NA,0.85213
E4357_127,NA,NA,0.15789
E1291_554,0.69298,NA,NA
E3600_536,NA,0.67043,NA
E3666_767,0.9599,NA,NA
E795_271,0.33835,NA,NA
E3180_607,NA,NA,0.7594
E1444_96,NA,NA,0.11905
E1821_515,NA,0.64411,NA
E337_279,NA,NA,0.34837
E2576_498,0.62281,NA,NA
E3831_291,0.36341,NA,NA
E1726_373,NA,NA,0.46617
E3242_263,NA,0.32832,NA
E18_471,0.58897,NA,NA
E2226_459,NA,NA,0.57393
E3882_518,0.64787,NA,NA
E4446_551,NA,0.68922,NA
E285_707,NA,0.88471,NA
E3069_569,0.71178,NA,NA
E1524_770,NA,NA,0.96366
E898_697,0.87218,NA,NA
E3062_392,0.48997,NA,NA
E1940_677,0.84712,NA,NA
E4557_120,NA,0.14912,NA
E3722_214,NA,NA,0.26692
E514_261,NA,0.32581,NA
E4130_459,NA,NA,0.57393
E2581_690,NA,0.86341,NA
E2459_786,NA,0.98371,NA
E2626_193,0.2406,NA,NA
E2980_720,0.901,NA,NA
E658_365,0.45614,NA,NA
E2892_364,NA,NA,0.45489
E4569_521,NA,NA,0.65163
E3522_44,0.05388,NA,NA
E4836_24,0.02882,NA,NA
E111_494,NA,NA,0.61779
E4929_498,NA,0.62281,NA
E1279_343,NA,NA,0.42857
E3122_583,NA,NA,0.72932
E3488_632,NA,0.79073,NA
E1185_710,NA,NA,0.88847
E3946_81,NA,NA,0.10025
E1933_46,NA,0.05639,NA
E1742_799,NA,1.0,NA
E476_583,NA,NA,0.72932
E1315_517,0.64662,NA,NA
E1267_421,NA,0.52632,NA
E1736_187,NA,0.23308,NA
E1591_790,NA,0.98872,NA
E1789_310,0.38722,NA,NA
E1206_314,NA,NA,0.39223
E3567_156,NA,NA,0.19424
E1106_181,NA,0.22556,NA
E3976_612,NA,0.76566,NA
E1445_609,0.7619,NA,NA
E269_517,NA,NA,0.64662
E47_756,0.94612,NA,NA
E2438_319,NA,NA,0.3985
E3480_660,0.82581,NA,NA
E3319_133,NA,0.16541,NA
E2186_186,NA,NA,0.23183
E3013_492,NA,NA,0.61529
E4953_735,NA,0.9198,NA
E1642_550,0.68797,NA,NA
E1425_579,0.72431,NA,NA
E2040_703,NA,0.8797,NA
E3140_500,0.62531,NA,NA
E2550_163,NA,0.20301,NA
E3188_212,0.26441,NA,NA
E567_189,0.23559,NA,NA
E805_129,NA,0.1604,NA
E2172_369,0.46115,NA,NA
E3961_650,NA,NA,0.81328
E3738_396,0.49499,NA,NA
E2804_480,0.60025,NA,NA
E3675_474,NA,NA,0.59273
E2761_598,NA,NA,0.74812
E3716_63,0.07769,NA,NA
E3858_627,NA,0.78446,NA
E3349_347,0.43358,NA,NA
E4359_216,0.26942,NA,NA
E4406_750,0.9386,NA,NA
E3183_326,0.40727,NA,NA
E1648_793,0.99248,NA,NA
E152_497,0.62155,NA,NA
E1313_21,0.02506,NA,NA
E478_441,0.55138,NA,NA
E1127_179,NA,NA,0.22306
E2178_769,NA,0.96241,NA
E1078_269,0.33584,NA,NA
E307_562,0.70301,NA,NA
E3449_244,NA,0.30451,NA
E681_216,NA,0.26942,NA
E3352_757,NA,0.94737,NA
E4861_86,NA,NA,0.10652
E136_769,NA,0.96241,NA
E2250_88,NA,NA,0.10902
E3713_251,NA,NA,0.31328
E3731_178,0.2218,NA,NA
E1033_694,NA,0.86842,NA
E189_470,NA,0.58772,NA
E1043_494,NA,0.61779,NA
E2146_402,NA,NA,0.50251
E2185_517,NA,0.64662,NA
E4502_199,0.24812,NA,NA
E2254_650,NA,0.81328,NA
E4427_459,0.57393,NA,NA
E3851_64,0.07895,NA,NA
E446_609,0.7619,NA,NA
E2551_230,NA,0.28697,NA
E3601_106,0.13158,NA,NA
E4152_112,0.1391,NA,NA
E4478_718,NA,0.8985,NA
E2526_627,NA,0.78446,NA
E4115_292,0.36466,NA,NA
E1300_729,0.91228,NA,NA
E3469_631,0.78947,NA,NA
E2421_443,NA,0.55388,NA
E2649_534,NA,0.66792,NA
E791_206,0.25689,NA,NA
E3427_645,0.80702,NA,NA
E1711_106,NA,0.13158,NA
E1340_346,0.43233,NA,NA
E3284_683,0.85464,NA,NA
E1989_602,0.75313,NA,NA
E3856_532,NA,NA,0.66541
E1471_572,NA,NA,0.71554
E4973_566,0.70802,NA,NA
E3169_128,0.15915,NA,NA
E3765_132,NA,NA,0.16416
E3428_787,0.98496,NA,NA
E4134_637,0.79699,NA,NA
E1338_367,0.45865,NA,NA
E1878_325,NA,NA,0.40602
E4350_610,0.76316,NA,NA
E1762_236,NA,0.29449,NA
E3587_246,NA,0.30702,NA
E3306_266,0.33208,NA,NA
E3302_338,NA,NA,0.42231
E768_117,NA,NA,0.14536
E4728_183,0.22807,NA,NA
E2610_728,0.91103,NA,NA
E3102_311,0.38847,NA,NA
E2444_235,NA,NA,0.29323
E2838_58,0.07143,NA,NA
E3326_530,NA,0.66291,NA
E1063_13,NA,0.01504,NA
E252_492,0.61529,NA,NA
E1482_716,NA,NA,0.89599
E4522_378,0.47243,NA,NA
E3750_95,NA,0.11779,NA
E1080_487,0.60902,NA,NA
E1548_494,NA,0.61779,NA
E3523_203,0.25313,NA,NA
E4381_636,NA,0.79574,NA
E2191_27,NA,0.03258,NA
E1407_140,NA,0.17419,NA
E592_611,NA,NA,0.76441
E2480_336,NA,0.4198,NA
E82_557,NA,NA,0.69674
E52_111,0.13784,NA,NA
E4264_552,NA,NA,0.69048
E2947_409,NA,0.51128,NA
E2541_751,NA,NA,0.93985
E1114_479,0.599,NA,NA
E4875_427,0.53383,NA,NA
E943_696,NA,NA,0.87093
E2325_393,NA,0.49123,NA
E1252_196,NA,0.24436,NA
E661_184,NA,NA,0.22932
E4966_386,NA,NA,0.48246
E759_355,NA,0.44361,NA
E1509_112,NA,0.1391,NA
E4819_39,0.04762,NA,NA
E949_251,0.31328,NA,NA
E3225_706,NA,0.88346,NA
E2403_145,0.18045,NA,NA
E3515_77,NA,NA,0.09524
E908_105,NA,NA,0.13033
E3542_703,0.8797,NA,NA
E374_16,0.0188,NA,NA
E3489_439,0.54887,NA,NA
E3922_391,NA,0.48872,NA
E1027_785,0.98246,NA,NA
E216_485,NA,0.60652,NA
E4362_610,0.76316,NA,NA
E2817_307,NA,NA,0.38346
E2122_484,NA,NA,0.60526
E357_475,0.59398,NA,NA
E3797_330,0.41228,NA,NA
E4538_662,NA,NA,0.82832
E295_146,NA,NA,0.1817
E4294_248,0.30952,NA,NA
E1012_550,0.68797,NA,NA
E3563_254,0.31704,NA,NA
E124_796,0.99624,NA,NA
E1518_560,NA,NA,0.7005
E1018_169,NA,NA,0.21053
E1021_201,0.25063,NA,NA
E2670_629,0.78697,NA,NA
E3560_304,0.3797,NA,NA
E479_477,0.59649,NA,NA
E3531_657,NA,NA,0.82206
E3546_667,NA,0.83459,NA
E4472_589,0.73684,NA,NA
E3878_226,NA,0.28195,NA
E2862_236,NA,0.29449,NA
E3159_789,0.98747,NA,NA
E463_273,NA,0.34085,NA
E2737_49,0.06015,NA,NA
E783_73,NA,NA,0.09023
E3762_429,NA,NA,0.53634
E1192_723,NA,0.90476,NA
E1846_158,0.19674,NA,NA
E2071_379,NA,NA,0.47368
E1098_330,0.41228,NA,NA
E2944_365,0.45614,NA,NA
E4060_53,NA,0.06516,NA
E1245_466,NA,NA,0.58271
E782_556,NA,0.69549,NA
E2489_389,0.48622,NA,NA
E1811_189,NA,0.23559,NA
E1178_10,NA,0.01128,NA
E4726_689,0.86216,NA,NA
E4595_658,0.82331,NA,NA
E4845_550,NA,NA,0.68797
E717_667,0.83459,NA,NA
E1563_392,0.48997,NA,NA
E1466_505,0.63158,NA,NA
E388_454,NA,0.56767,NA
E3174_653,0.81704,NA,NA
E1814_343,NA,NA,0.42857
E113_591,NA,NA,0.73935
E1698_269,NA,NA,0.33584
E3968_195,NA,NA,0.24311
E4801_589,NA,0.73684,NA
E3207_586,0.73308,NA,NA
E1603_13,0.01504,NA,NA
E1984_382,0.47744,NA,NA
E4610_88,NA,NA,0.10902
E3834_402,NA,0.50251,NA
E229_295,0.36842,NA,NA
E2896_211,0.26316,NA,NA
E4473_327,0.40852,NA,NA
E2449_187,NA,0.23308,NA
E4568_376,NA,NA,0.46992
E3651_509,0.63659,NA,NA
E148_70,NA,NA,0.08647
E3126_154,NA,NA,0.19173
E3299_248,NA,NA,0.30952
E4827_748,0.93609,NA,NA
E2224_201,0.25063,NA,NA
E1158_690,0.86341,NA,NA
E1580_732,0.91604,NA,NA
E1277_373,NA,NA,0.46617
E2886_480,0.60025,NA,NA
E1942_293,0.36591,NA,NA
E2845_345,NA,NA,0.43108
E4319_104,0.12907,NA,NA
E2643_204,NA,0.25439,NA
E4968_512,0.64035,NA,NA
E4143_188,NA,0.23434,NA
E2352_681,NA,0.85213,NA
E2813_323,NA,NA,0.40351
E123_662,NA,NA,0.82832
E2005_597,0.74687,NA,NA
E1706_173,NA,NA,0.21554
E1188_18,0.0213,NA,NA
E990_77,0.09524,NA,NA
E1423_139,0.17293,NA,NA
E4718_642,0.80326,NA,NA
E4367_603,0.75439,NA,NA
E3432_381,NA,NA,0.47619
E3690_485,0.60652,NA,NA
E3060_158,NA,NA,0.19674
E3194_113,NA,NA,0.14035
E2713_400,NA,NA,0.5
E561_350,0.43734,NA,NA
E2201_544,NA,NA,0.68045
E4925_392,NA,NA,0.48997
E2688_352,0.43985,NA,NA
E156_670,NA,NA,0.83835
E432_486,NA,NA,0.60777
E1832_658,NA,0.82331,NA
E3499_207,0.25815,NA,NA
E3866_469,0.58647,NA,NA
E3371_509,NA,0.63659,NA
E2586_235,NA,NA,0.29323
E3249_16,0.0188,NA,NA
E3265_467,NA,0.58396,NA
E2693_495,NA,0.61905,NA
E358_460,0.57519,NA,NA
E4355_226,NA,NA,0.28195
E2465_134,0.16667,NA,NA
E1947_701,NA,0.87719,NA
E449_709,NA,0.88722,NA
E4010_602,NA,0.75313,NA
E2140_380,0.47494,NA,NA
E2183_346,0.43233,NA,NA
E1237_169,NA,0.21053,NA
E1757_417,0.5213,NA,NA
E3963_196,0.24436,NA,NA
E2941_483,0.60401,NA,NA
E2279_354,NA,0.44236,NA
E3642_214,NA,0.26692,NA
E3414_44,NA,NA,0.05388
E3775_75,NA,0.09273,NA
E2560_398,NA,0.49749,NA
E1152_448,NA,0.56015,NA
E1167_317,NA,0.39599,NA
E1817_1,NA,0.0,NA
E4752_572,0.71554,NA,NA
E3847_740,NA,0.92607,NA
E1249_480,NA,0.60025,NA
E4760_243,NA,NA,0.30326
E28_516,NA,NA,0.64536
E2494_435,NA,0.54386,NA
E1104_9,NA,NA,0.01003
E1720_662,0.82832,NA,NA
E4979_450,0.56266,NA,NA
E4262_67,0.08271,NA,NA
E1767_490,NA,NA,0.61278
E4917_358,0.44737,NA,NA
E4580_255,0.3183,NA,NA
E102_692,0.86591,NA,NA
E921_347,0.43358,NA,NA
E4657_399,NA,NA,0.49875
E4758_406,NA,NA,0.50752
E2506_194,0.24185,NA,NA
E2236_785,0.98246,NA,NA
E3439_630,0.78822,NA,NA
E373_561,NA,NA,0.70175
E2335_757,NA,NA,0.94737
E2583_524,NA,NA,0.65539
E2802_339,NA,0.42356,NA
E3067_112,NA,0.1391,NA
E1780_455,0.56892,NA,NA
E439_362,0.45238,NA,NA
E2631_584,0.73058,NA,NA
E2123_725,0.90727,NA,NA
E3031_175,NA,0.21805,NA
E4354_268,0.33459,NA,NA
E1064_252,NA,0.31454,NA
E1568_326,0.40727,NA,NA
E872_547,0.68421,NA,NA
E1139_785,NA,NA,0.98246
E3129_572,NA,0.71554,NA
E3113_297,NA,0.37093,NA
E729_38,0.04637,NA,NA
E1994_660,0.82581,NA,NA
E3953_401,0.50125,NA,NA
E1451_605,NA,NA,0.75689
E3030_476,0.59524,NA,NA
E3076_597,NA,NA,0.74687
E4843_342,NA,0.42732,NA
E2202_530,NA,NA,0.66291
E2704_255,0.3183,NA,NA
E2540_440,0.55013,NA,NA
E3165_711,0.88972,NA,NA
E4091_43,NA,0.05263,NA
E2951_786,NA,0.98371,NA
E2461_107,NA,0.13283,NA
E1274_91,0.11278,NA,NA
E1223_179,0.22306,NA,NA
E3336_544,NA,NA,0.68045
E329_246,NA,NA,0.30702
E83_267,NA,NA,0.33333
E3759_82,NA,0.1015,NA
E965_799,1.0,NA,NA
E922_681,0.85213,NA,NA
E4303_22,NA,0.02632,NA
E93_401,0.50125,NA,NA
E4996_55,NA,0.06767,NA
E4495_85,0.10526,NA,NA
E655_650,NA,0.81328,NA
E807_237,0.29574,NA,NA
E2391_737,0.92231,NA,NA
E581_768,0.96115,NA,NA
E4667_418,NA,0.52256,NA
E3470_272,0.3396,NA,NA
E143_470,NA,NA,0.58772
E150_568,NA,NA,0.71053
E4772_647,NA,0.80952,NA
E4191_317,NA,NA,0.39599
E2771_767,NA,0.9599,NA
E447_129,NA,NA,0.1604
E3274_410,0.51253,NA,NA
E866_788,0.98622,NA,NA
E2957_104,NA,NA,0.12907
E2265_257,NA,NA,0.3208
E3494_225,0.2807,NA,NA
E1475_747,NA,0.93484,NA
E1738_57,0.07018,NA,NA
E433_518,0.64787,NA,NA
E3786_714,NA,NA,0.89348
E3629_396,0.49499,NA,NA
E2039_587,0.73434,NA,NA
E457_727,NA,NA,0.90977
E97_708,0.88596,NA,NA
E3280_679,NA,0.84962,NA
E3733_470,0.58772,NA,NA
E5_797,NA,NA,0.99749
E1151_588,NA,NA,0.73559
E2106_389,0.48622,NA,NA
E3147_121,0.15038,NA,NA
E881_71,NA,0.08772,NA
E3365_117,NA,0.14536,NA
E3398_578,0.72306,NA,NA
E2410_346,NA,0.43233,NA
E1364_750,NA,NA,0.9386
E2570_382,NA,NA,0.47744
E2292_724,NA,NA,0.90602
E854_532,NA,NA,0.66541
E147_452,NA,NA,0.56516
E1669_451,0.56391,NA,NA
E1673_738,NA,0.92356,NA
E3095_526,NA,NA,0.65789
E237_458,NA,NA,0.57268
E385_248,0.30952,NA,NA
E2721_552,0.69048,NA,NA
E1015_162,NA,0.20175,NA
E3386_605,0.75689,NA,NA
E4911_288,NA,0.35965,NA
E2036_522,NA,0.65288,NA
E1745_230,NA,0.28697,NA
E1378_85,0.10526,NA,NA
E1056_107,0.13283,NA,NA
E839_146,0.1817,NA,NA
E2969_571,0.71429,NA,NA
E1086_431,NA,0.53885,NA
E4520_317,NA,0.39599,NA
E2296_60,NA,NA,0.07393
E3093_461,0.57644,NA,NA
E816_786,NA,0.98371,NA
E1171_342,NA,NA,0.42732
E389_303,NA,NA,0.37845
E4023_201,NA,0.25063,NA
E844_71,0.08772,NA,NA
E2641_640,0.80075,NA,NA
E4949_606,NA,0.75815,NA
E923_576,NA,NA,0.72055
E2473_487,0.60902,NA,NA
E1428_237,NA,0.29574,NA
E1232_418,NA,0.52256,NA
E429_141,0.17544,NA,NA
E224_722,0.90351,NA,NA
E1370_762,NA,0.95363,NA
E3000_339,NA,NA,0.42356
E846_142,0.17669,NA,NA
E1672_622,0.7782,NA,NA
E1979_197,NA,0.24561,NA
E1739_213,NA,NA,0.26566
E946_650,NA,0.81328,NA
E2832_494,NA,NA,0.61779
E220_553,0.69173,NA,NA
E3301_532,0.66541,NA,NA
E1690_69,0.08521,NA,NA
E1399_733,NA,NA,0.91729
E1796_492,NA,0.61529,NA
E95_590,NA,NA,0.7381
E4386_751,0.93985,NA,NA
E3462_539,0.67419,NA,NA
E144_652,0.81579,NA,NA
E3404_81,NA,0.10025,NA
E2870_571,0.71429,NA,NA
E2017_605,NA,0.75689,NA
E1886_579,NA,0.72431,NA
E410_321,NA,0.401,NA
E631_41,0.05013,NA,NA
E817_534,NA,NA,0.66792
E3708_321,NA,NA,0.401
E233_588,0.73559,NA,NA
E2061_600,0.75063,NA,NA
E1544_414,NA,0.51754,NA
E1969_311,NA,0.38847,NA
E3504_313,0.39098,NA,NA
E3771_140,NA,0.17419,NA
E913_178,NA,0.2218,NA
E3192_683,NA,NA,0.85464
E4688_511,NA,NA,0.6391
