,PseudoTime1,PseudoTime2
E603_394,NA,0.49248
E2696_649,0.81203,NA
E1203_362,NA,0.45238
E2542_451,NA,0.56391
E3454_498,NA,0.62281
E1021_50,NA,0.0614
E4197_164,0.20426,NA
E2386_649,0.81203,NA
E4613_140,NA,0.17419
E3896_523,0.65414,NA
E1509_111,0.13784,NA
E2741_723,0.90476,NA
E4474_20,0.02381,NA
E995_159,0.19799,NA
E315_642,NA,0.80326
E2891_598,NA,0.74812
E735_637,NA,0.79699
E1298_293,0.36591,NA
E4741_93,0.11529,NA
E3964_390,NA,0.48747
E2246_536,NA,0.67043
E359_208,0.2594,NA
E2273_208,NA,0.2594
E3273_588,NA,0.73559
E345_317,0.39599,NA
E2632_79,NA,0.09774
E2087_314,0.39223,NA
E4584_224,NA,0.27945
E3690_296,0.36967,NA
E2220_196,0.24436,NA
E4992_445,NA,0.55639
E1195_741,NA,0.92732
E2169_600,NA,0.75063
E1555_106,0.13158,NA
E3303_323,NA,0.40351
E246_716,NA,0.89599
E2533_667,NA,0.83459
E3381_448,NA,0.56015
E3510_227,NA,0.28321
E4466_84,NA,0.10401
E1263_327,NA,0.40852
E1625_356,NA,0.44486
E211_67,NA,0.08271
E2484_344,0.42982,NA
E2681_439,NA,0.54887
E2485_298,NA,0.37218
E4128_498,0.62281,NA
E652_520,NA,0.65038
E2994_564,NA,0.70551
E2762_167,0.20802,NA
E1954_192,0.23935,NA
E3489_628,NA,0.78571
E3166_453,0.56642,NA
E4714_20,NA,0.02381
E1128_649,NA,0.81203
E884_222,NA,0.27694
E961_1,NA,0.0
E2185_58,0.07143,NA
E3343_705,NA,0.88221
E1652_403,NA,0.50376
E1020_312,NA,0.38972
E3153_652,0.81579,NA
E1031_307,0.38346,NA
E1211_438,0.54762,NA
E2553_384,0.47995,NA
E1675_603,NA,0.75439
E4816_150,0.18672,NA
E3671_763,NA,0.95489
E3212_317,NA,0.39599
E4406_496,NA,0.6203
E697_28,0.03383,NA
E2663_258,NA,0.32206
E1456_36,NA,0.04386
E4184_331,0.41353,NA
E3829_501,0.62657,NA
E3400_270,0.33709,NA
E3679_444,NA,0.55514
E3368_545,0.6817,NA
E502_680,NA,0.85088
E2849_607,NA,0.7594
E1733_710,NA,0.88847
E4419_214,NA,0.26692
E4657_451,NA,0.56391
E3982_141,0.17544,NA
E1996_631,0.78947,NA
E786_427,0.53383,NA
E4957_797,0.99749,NA
E2151_493,0.61654,NA
E838_471,0.58897,NA
E143_719,0.89975,NA
E1443_61,NA,0.07519
E536_103,NA,0.12782
E641_261,0.32581,NA
E1597_1,NA,0.0
E13_230,NA,0.28697
E1650_727,NA,0.90977
E3202_578,NA,0.72306
E2504_200,0.24937,NA
E156_522,NA,0.65288
E4001_438,NA,0.54762
E2824_4,NA,0.00376
E357_64,NA,0.07895
E3208_735,NA,0.9198
E4807_688,NA,0.8609
E2231_193,0.2406,NA
E3926_760,0.95113,NA
E2803_341,NA,0.42607
E1379_563,NA,0.70426
E520_317,NA,0.39599
E1362_254,0.31704,NA
E2677_766,NA,0.95865
E1739_472,0.59023,NA
E2830_477,0.59649,NA
E2352_54,0.06642,NA
E1170_356,0.44486,NA
E3356_370,NA,0.46241
E4841_129,0.1604,NA
E493_356,0.44486,NA
E2350_299,0.37343,NA
E2017_720,NA,0.901
E3272_213,0.26566,NA
E2129_698,NA,0.87343
E1343_3,NA,0.00251
E2009_428,0.53509,NA
E2682_695,0.86967,NA
E598_687,NA,0.85965
E1425_11,NA,0.01253
E2390_518,NA,0.64787
E1213_788,0.98622,NA
E2557_427,0.53383,NA
E3740_69,NA,0.08521
E4124_62,0.07644,NA
E4829_53,0.06516,NA
E1337_756,NA,0.94612
E1280_29,0.03509,NA
E889_423,NA,0.52882
E4545_16,0.0188,NA
E3625_344,NA,0.42982
E3968_140,0.17419,NA
E864_629,0.78697,NA
E1836_508,0.63534,NA
E264_534,0.66792,NA
E4427_745,NA,0.93233
E1449_543,NA,0.6792
E1024_566,0.70802,NA
E4820_472,0.59023,NA
E3271_282,0.35213,NA
E2877_615,NA,0.76942
E4471_9,0.01003,NA
E4821_698,0.87343,NA
E3929_747,NA,0.93484
E3996_784,0.9812,NA
E4952_64,0.07895,NA
E4783_746,0.93358,NA
E1656_407,0.50877,NA
E2920_278,NA,0.34712
E1829_556,NA,0.69549
E2765_11,0.01253,NA
E2146_17,NA,0.02005
E71_197,0.24561,NA
E457_121,NA,0.15038
E2406_798,0.99875,NA
E3767_13,0.01504,NA
E1842_752,NA,0.9411
E1419_349,0.43609,NA
E376_648,0.81078,NA
E3010_84,NA,0.10401
E2979_118,NA,0.14662
E1420_133,0.16541,NA
E4931_271,NA,0.33835
E3588_55,0.06767,NA
E3005_170,0.21178,NA
E1546_66,NA,0.08145
E460_208,0.2594,NA
E3675_522,NA,0.65288
E2657_294,0.36717,NA
E2215_693,NA,0.86717
E3519_332,0.41479,NA
E1063_70,NA,0.08647
E1012_317,0.39599,NA
E725_419,NA,0.52381
E3277_359,0.44862,NA
E366_496,0.6203,NA
E279_596,NA,0.74561
E4789_703,0.8797,NA
E1210_325,NA,0.40602
E2744_521,NA,0.65163
E716_285,0.35589,NA
E2835_557,NA,0.69674
E42_382,0.47744,NA
E779_664,NA,0.83083
E2799_623,0.77945,NA
E1828_754,NA,0.94361
E662_115,0.14286,NA
E1639_728,0.91103,NA
E50_479,NA,0.599
E4658_671,0.8396,NA
E2423_441,0.55138,NA
E4220_13,0.01504,NA
E654_509,NA,0.63659
E3541_185,NA,0.23058
E3138_55,0.06767,NA
E3328_21,0.02506,NA
E4296_124,NA,0.15414
E392_174,0.21679,NA
E4041_56,0.06892,NA
E4283_620,NA,0.77569
E3496_669,NA,0.83709
E671_787,NA,0.98496
E837_605,0.75689,NA
E892_724,0.90602,NA
E2399_44,NA,0.05388
E1352_105,NA,0.13033
E3376_162,0.20175,NA
E1578_790,0.98872,NA
E150_239,NA,0.29825
E1588_306,0.38221,NA
E3292_247,0.30827,NA
E322_621,0.77694,NA
E675_40,NA,0.04887
E2452_239,0.29825,NA
E3438_33,NA,0.0401
E265_251,0.31328,NA
E1268_118,NA,0.14662
E903_187,0.23308,NA
E4040_376,0.46992,NA
E3014_133,NA,0.16541
E3618_451,0.56391,NA
E276_278,0.34712,NA
E901_784,NA,0.9812
E75_641,NA,0.80201
E2998_561,0.70175,NA
E1754_67,NA,0.08271
E124_122,0.15163,NA
E4619_223,NA,0.2782
E3680_756,0.94612,NA
E2858_140,0.17419,NA
E4859_710,NA,0.88847
E4496_87,0.10777,NA
E1933_393,0.49123,NA
E1753_303,NA,0.37845
E1531_411,0.51378,NA
E4359_197,NA,0.24561
E1029_248,NA,0.30952
E3249_737,NA,0.92231
E4892_799,1.0,NA
E3873_564,NA,0.70551
E3113_15,NA,0.01754
E1324_334,NA,0.41729
E990_414,NA,0.51754
E4396_791,0.98997,NA
E789_590,0.7381,NA
E2353_544,NA,0.68045
E463_692,NA,0.86591
E556_10,NA,0.01128
E2238_736,NA,0.92105
E3052_542,NA,0.67794
E2659_204,NA,0.25439
E3050_476,NA,0.59524
E3160_244,0.30451,NA
E3491_699,NA,0.87469
E2346_736,0.92105,NA
E325_687,NA,0.85965
E220_335,NA,0.41855
E4602_220,NA,0.27444
E20_477,NA,0.59649
E1060_742,NA,0.92857
E2782_659,NA,0.82456
E51_683,NA,0.85464
E1479_237,NA,0.29574
E3063_524,NA,0.65539
E3607_115,0.14286,NA
E2410_24,NA,0.02882
E1965_574,NA,0.71805
E2131_663,NA,0.82957
E694_69,0.08521,NA
E4610_142,NA,0.17669
E866_178,NA,0.2218
E1834_433,0.54135,NA
E3129_146,0.1817,NA
E1300_188,NA,0.23434
E1306_493,NA,0.61654
E2134_133,NA,0.16541
E3018_545,NA,0.6817
E509_29,0.03509,NA
E1797_672,0.84085,NA
E4640_473,NA,0.59148
E3003_568,0.71053,NA
E1181_508,0.63534,NA
E126_202,NA,0.25188
E4458_461,NA,0.57644
E2317_257,0.3208,NA
E1720_259,NA,0.32331
E3635_394,0.49248,NA
E584_395,0.49373,NA
E2068_524,0.65539,NA
E2042_357,NA,0.44612
E1224_158,0.19674,NA
E4309_242,NA,0.30201
E2535_768,NA,0.96115
E2700_238,0.29699,NA
E1595_763,NA,0.95489
E4866_46,0.05639,NA
E4573_778,0.97368,NA
E3643_454,0.56767,NA
E2229_635,NA,0.79449
E4837_230,0.28697,NA
E967_451,NA,0.56391
E80_290,0.36216,NA
E1241_702,NA,0.87845
E2526_285,0.35589,NA
E4163_32,NA,0.03885
E2277_247,0.30827,NA
E3030_9,NA,0.01003
E3542_188,0.23434,NA
E2302_156,NA,0.19424
E3906_43,0.05263,NA
E579_239,0.29825,NA
E2370_689,0.86216,NA
E4189_281,0.35088,NA
E1783_498,0.62281,NA
E1209_232,NA,0.28947
E3569_388,0.48496,NA
E1127_506,0.63283,NA
E552_457,NA,0.57143
E751_287,NA,0.3584
E1130_251,NA,0.31328
E2170_277,0.34586,NA
E615_746,NA,0.93358
E339_394,0.49248,NA
E267_419,0.52381,NA
E3386_406,0.50752,NA
E4000_74,0.09148,NA
E4754_29,NA,0.03509
E948_215,NA,0.26817
E1727_204,0.25439,NA
E896_484,NA,0.60526
E3159_595,NA,0.74436
E3621_275,0.34336,NA
E1781_463,NA,0.57895
E3424_394,0.49248,NA
E2259_439,NA,0.54887
E4515_24,0.02882,NA
E3006_345,0.43108,NA
E1357_413,NA,0.51629
E453_535,NA,0.66917
E3402_671,NA,0.8396
E1681_22,0.02632,NA
E1780_766,NA,0.95865
E3730_775,0.96992,NA
E4251_343,0.42857,NA
E353_489,0.61153,NA
E3099_148,0.18421,NA
E210_391,NA,0.48872
E3218_35,0.04261,NA
E4736_43,NA,0.05263
E2442_316,NA,0.39474
E128_798,0.99875,NA
E3728_402,0.50251,NA
E3020_266,NA,0.33208
E2203_449,NA,0.5614
E1960_418,0.52256,NA
E1475_608,NA,0.76065
E3358_268,NA,0.33459
E3992_428,0.53509,NA
E137_788,0.98622,NA
E2578_717,0.89724,NA
E3355_464,NA,0.5802
E596_326,0.40727,NA
E1660_619,NA,0.77444
E3261_417,NA,0.5213
E3988_364,0.45489,NA
E48_11,0.01253,NA
E4077_4,NA,0.00376
E4298_717,NA,0.89724
E1682_614,0.76817,NA
E3325_459,NA,0.57393
E3150_109,NA,0.13534
E3157_701,NA,0.87719
E3805_498,0.62281,NA
E4350_466,0.58271,NA
E1544_132,0.16416,NA
E4002_301,NA,0.37594
E3247_600,NA,0.75063
E1252_534,NA,0.66792
E3309_243,0.30326,NA
E4840_207,0.25815,NA
E2391_168,0.20927,NA
E3919_676,NA,0.84586
E4386_464,NA,0.5802
E1895_731,0.91479,NA
E4956_515,NA,0.64411
E2913_555,0.69424,NA
E4262_639,NA,0.7995
E4202_292,NA,0.36466
E3712_780,0.97619,NA
E3843_456,NA,0.57018
E3973_394,NA,0.49248
E4160_227,NA,0.28321
E4459_431,NA,0.53885
E594_330,NA,0.41228
E1610_661,0.82707,NA
E3244_206,NA,0.25689
E1892_483,0.60401,NA
E4253_112,0.1391,NA
E2804_484,NA,0.60526
E4134_786,NA,0.98371
E4735_140,NA,0.17419
E4171_267,0.33333,NA
E2687_35,0.04261,NA
E409_543,NA,0.6792
E3289_392,0.48997,NA
E551_43,0.05263,NA
E4268_248,0.30952,NA
E1929_312,NA,0.38972
E3704_567,0.70927,NA
E35_302,NA,0.37719
E3700_22,NA,0.02632
E4646_272,0.3396,NA
E4227_254,0.31704,NA
E1317_181,NA,0.22556
E1803_783,NA,0.97995
E2539_678,0.84837,NA
E1381_52,0.06391,NA
E3156_772,0.96617,NA
E3280_472,0.59023,NA
E888_32,0.03885,NA
E2997_357,0.44612,NA
E2831_628,0.78571,NA
E3940_640,NA,0.80075
E2996_536,0.67043,NA
E2069_492,0.61529,NA
E957_470,NA,0.58772
E3081_14,0.01629,NA
E3879_422,NA,0.52757
E620_780,0.97619,NA
E4587_642,0.80326,NA
E4972_468,NA,0.58521
E4716_542,NA,0.67794
E3645_541,0.67669,NA
E3913_351,0.4386,NA
E4052_19,0.02256,NA
E1815_731,0.91479,NA
E1615_1,0.0,NA
E4822_170,0.21178,NA
E3341_621,0.77694,NA
E1714_54,0.06642,NA
E1307_535,0.66917,NA
E761_485,0.60652,NA
E1586_211,NA,0.26316
E2280_598,NA,0.74812
E427_413,0.51629,NA
E4172_565,NA,0.70677
E3479_790,NA,0.98872
E2196_219,NA,0.27318
E569_747,NA,0.93484
E781_461,NA,0.57644
E2419_552,0.69048,NA
E4722_211,0.26316,NA
E4679_620,NA,0.77569
E4135_503,NA,0.62907
E2894_706,0.88346,NA
E4132_732,NA,0.91604
E2316_550,0.68797,NA
E3684_529,NA,0.66165
E3565_249,NA,0.31078
E1208_715,0.89474,NA
E1841_424,NA,0.53008
E4335_170,0.21178,NA
E4012_505,0.63158,NA
E3960_244,0.30451,NA
E2257_626,NA,0.78321
E1693_591,0.73935,NA
E1567_136,0.16917,NA
E588_226,0.28195,NA
E4617_25,0.03008,NA
E4942_784,0.9812,NA
E4222_720,NA,0.901
E3975_315,0.39348,NA
E4326_505,0.63158,NA
E1520_131,NA,0.16291
E3575_278,NA,0.34712
E1258_784,NA,0.9812
E4797_674,NA,0.84336
E4137_80,0.099,NA
E2128_518,0.64787,NA
E4928_282,0.35213,NA
E1435_294,0.36717,NA
E726_444,NA,0.55514
E2611_227,NA,0.28321
E2444_624,NA,0.7807
E4156_215,0.26817,NA
E2358_685,NA,0.85714
E2775_631,0.78947,NA
E699_619,0.77444,NA
E3756_603,NA,0.75439
E3034_432,NA,0.5401
E3799_340,0.42481,NA
E1035_545,0.6817,NA
E978_355,NA,0.44361
E3927_80,0.099,NA
E3585_412,NA,0.51504
E1162_779,NA,0.97494
E3437_477,0.59649,NA
E3701_320,NA,0.39975
E2336_178,0.2218,NA
E380_146,NA,0.1817
E4476_124,NA,0.15414
E3649_628,0.78571,NA
E1124_142,0.17669,NA
E3173_146,0.1817,NA
E1259_263,NA,0.32832
E3892_563,NA,0.70426
E495_790,NA,0.98872
E1899_91,0.11278,NA
E4112_270,NA,0.33709
E468_5,NA,0.00501
E1847_558,0.69799,NA
E4652_207,0.25815,NA
E4064_563,0.70426,NA
E2165_475,NA,0.59398
E136_797,NA,0.99749
E3285_67,0.08271,NA
E4367_362,NA,0.45238
E3348_726,NA,0.90852
E1795_61,0.07519,NA
E988_83,0.10276,NA
E3058_657,0.82206,NA
E125_106,0.13158,NA
E2431_636,NA,0.79574
E269_703,NA,0.8797
E1310_757,NA,0.94737
E2279_559,NA,0.69925
E4815_606,NA,0.75815
E3461_63,0.07769,NA
E2809_118,NA,0.14662
E792_757,0.94737,NA
E810_599,NA,0.74937
E3827_24,0.02882,NA
E4676_160,0.19925,NA
E3049_680,0.85088,NA
E4110_577,NA,0.7218
E1002_626,0.78321,NA
E4293_41,0.05013,NA
E258_187,0.23308,NA
E3165_415,0.5188,NA
E3011_656,NA,0.8208
E1043_9,NA,0.01003
E2354_99,0.12281,NA
E2521_535,0.66917,NA
E2236_236,NA,0.29449
E1473_642,NA,0.80326
E4703_373,NA,0.46617
E709_776,0.97118,NA
E4360_106,NA,0.13158
E1185_621,0.77694,NA
E1868_165,NA,0.20551
E3994_526,0.65789,NA
E4998_497,0.62155,NA
E3791_170,0.21178,NA
E231_140,NA,0.17419
E2796_87,0.10777,NA
E3865_769,0.96241,NA
E429_48,0.0589,NA
E2385_227,NA,0.28321
E4945_166,NA,0.20677
E4746_491,NA,0.61404
E166_463,NA,0.57895
E133_768,NA,0.96115
E3677_12,0.01378,NA
E2531_397,0.49624,NA
E3283_27,NA,0.03258
E4905_619,0.77444,NA
E3288_794,0.99373,NA
E2844_700,0.87594,NA
E3456_345,NA,0.43108
E1119_221,NA,0.27569
E1526_470,0.58772,NA
E2954_247,NA,0.30827
E4568_275,NA,0.34336
E3586_717,0.89724,NA
E3511_799,NA,1.0
E4860_34,NA,0.04135
E4035_768,0.96115,NA
E3744_25,NA,0.03008
E3279_570,NA,0.71303
E1194_331,0.41353,NA
E1296_34,NA,0.04135
E715_670,NA,0.83835
E1046_432,0.5401,NA
E2966_367,0.45865,NA
E2707_615,0.76942,NA
E3357_712,0.89098,NA
E956_102,0.12657,NA
E290_585,NA,0.73183
E2005_201,NA,0.25063
E1168_752,0.9411,NA
E3183_127,0.15789,NA
E970_401,0.50125,NA
E2661_402,0.50251,NA
E879_61,NA,0.07519
E405_122,NA,0.15163
E2242_752,0.9411,NA
E3245_782,NA,0.9787
E1707_231,0.28822,NA
E4282_242,0.30201,NA
E2878_235,NA,0.29323
E4003_149,0.18546,NA
E2365_778,0.97368,NA
E4026_641,0.80201,NA
E3345_471,NA,0.58897
E4313_170,NA,0.21178
E4766_621,NA,0.77694
E1274_579,0.72431,NA
E4664_384,NA,0.47995
E2938_132,0.16416,NA
E1942_232,0.28947,NA
E1177_56,0.06892,NA
E4486_94,0.11654,NA
E4585_65,0.0802,NA
E4295_51,0.06266,NA
E295_626,0.78321,NA
E2850_789,0.98747,NA
E4426_569,0.71178,NA
E4653_789,NA,0.98747
E834_459,0.57393,NA
E1427_420,NA,0.52506
E114_619,0.77444,NA
E1102_574,NA,0.71805
E3718_12,0.01378,NA
E856_751,0.93985,NA
E647_288,0.35965,NA
E103_37,NA,0.04511
E3821_463,0.57895,NA
E3222_326,NA,0.40727
E3504_216,NA,0.26942
E876_363,NA,0.45363
E4404_764,0.95614,NA
E2378_612,NA,0.76566
E170_74,NA,0.09148
E109_323,NA,0.40351
E1695_72,NA,0.08897
E1154_442,NA,0.55263
E3458_135,NA,0.16792
E1131_757,0.94737,NA
E3334_380,0.47494,NA
E566_93,NA,0.11529
E3917_664,NA,0.83083
E95_326,0.40727,NA
E2476_240,0.2995,NA
E4393_571,NA,0.71429
E4424_148,0.18421,NA
E4560_289,0.3609,NA
E2413_763,NA,0.95489
E2328_31,NA,0.03759
E1831_209,NA,0.26065
E1789_92,NA,0.11404
E2856_6,NA,0.00627
E3735_744,NA,0.93108
E1870_270,0.33709,NA
E3211_542,0.67794,NA
E4113_725,0.90727,NA
E4188_756,0.94612,NA
E1762_709,0.88722,NA
E3999_251,NA,0.31328
E4154_210,NA,0.2619
E891_265,0.33083,NA
E2644_466,NA,0.58271
E488_192,NA,0.23935
E1749_439,NA,0.54887
E1854_754,NA,0.94361
E3463_217,NA,0.27068
E4495_422,NA,0.52757
E1493_93,NA,0.11529
E1434_553,0.69173,NA
E1007_337,0.42105,NA
E4991_513,NA,0.6416
E4232_717,NA,0.89724
E539_507,0.63409,NA
E1645_192,NA,0.23935
E3059_527,0.65915,NA
E1703_578,NA,0.72306
E2648_16,NA,0.0188
E979_155,0.19298,NA
E2098_548,0.68546,NA
E543_671,NA,0.8396
E3619_5,0.00501,NA
E1489_189,0.23559,NA
E3351_671,0.8396,NA
E3188_514,NA,0.64286
E4707_314,0.39223,NA
E923_117,0.14536,NA
E61_490,0.61278,NA
E1908_578,0.72306,NA
E930_375,NA,0.46867
E43_404,0.50501,NA
E840_265,NA,0.33083
E461_156,NA,0.19424
E613_310,0.38722,NA
E4941_503,0.62907,NA
E3905_183,0.22807,NA
E2040_118,NA,0.14662
E4769_311,0.38847,NA
E2070_527,NA,0.65915
E2359_207,NA,0.25815
E4915_316,0.39474,NA
E298_53,NA,0.06516
E221_645,0.80702,NA
E2789_309,0.38596,NA
E744_686,NA,0.8584
E550_427,0.53383,NA
E3060_57,NA,0.07018
E3646_338,0.42231,NA
E2740_613,0.76692,NA
E4671_747,NA,0.93484
E2256_159,NA,0.19799
E2192_398,0.49749,NA
E4643_321,0.401,NA
E4906_229,NA,0.28571
E3611_374,NA,0.46742
E1387_298,0.37218,NA
E1992_168,NA,0.20927
E1807_639,0.7995,NA
E4659_403,NA,0.50376
E228_731,NA,0.91479
E3944_157,0.19549,NA
E2407_239,0.29825,NA
E4481_512,NA,0.64035
E1632_378,0.47243,NA
E2756_716,0.89599,NA
E893_661,NA,0.82707
E4631_47,NA,0.05764
E3140_503,0.62907,NA
E458_512,0.64035,NA
E2082_767,NA,0.9599
E533_698,0.87343,NA
E1082_614,0.76817,NA
E108_698,NA,0.87343
E1383_494,0.61779,NA
E1182_449,NA,0.5614
E951_616,NA,0.77068
E2898_710,0.88847,NA
E1363_584,0.73058,NA
E4032_259,0.32331,NA
E3862_407,0.50877,NA
E4029_55,0.06767,NA
E4900_407,0.50877,NA
E4178_82,0.1015,NA
E3598_673,0.84211,NA
E4122_127,0.15789,NA
E3762_452,NA,0.56516
E4081_620,NA,0.77569
E4795_465,0.58145,NA
E116_691,0.86466,NA
E3521_633,NA,0.79198
E2173_330,0.41228,NA
E4813_47,NA,0.05764
