,PseudoTime1,PseudoTime2
E2911_35,NA,0.06827
E741_431,NA,0.86345
E3033_412,0.8253,NA
E3186_306,NA,0.61245
E2363_400,0.8012,NA
E2349_447,NA,0.89558
E603_456,NA,0.91365
E2554_474,NA,0.9498
E3064_173,NA,0.34538
E2162_244,NA,0.48795
E1376_311,0.62249,NA
E2307_272,0.54418,NA
E3405_57,NA,0.11245
E4317_283,NA,0.56627
E1036_87,NA,0.17269
E2239_400,0.8012,NA
E974_446,NA,0.89357
E1910_487,0.9759,NA
E3594_194,NA,0.38755
E4322_18,NA,0.03414
E2953_417,NA,0.83534
E4143_55,NA,0.10843
E4975_46,0.09036,NA
E1251_185,0.36948,NA
E1319_448,0.89759,NA
E353_241,NA,0.48193
E4440_363,NA,0.72691
E4912_190,0.37952,NA
E2122_236,NA,0.47189
E732_279,NA,0.55823
E1557_357,NA,0.71486
E2912_102,NA,0.20281
E151_200,0.3996,NA
E4410_320,0.64056,NA
E4946_139,0.27711,NA
E3724_95,0.18876,NA
E3247_12,NA,0.02209
E2075_154,NA,0.30723
E2579_141,NA,0.28112
E3177_261,NA,0.52209
E1193_8,0.01406,NA
E4276_249,0.49799,NA
E293_114,0.22691,NA
E3882_129,NA,0.25703
E4827_327,0.65462,NA
E2421_266,NA,0.53213
E1009_305,0.61044,NA
E933_75,0.14859,NA
E3866_25,NA,0.04819
E2715_412,0.8253,NA
E2045_412,0.8253,NA
E855_458,0.91767,NA
E1842_223,NA,0.44578
E4596_268,0.53614,NA
E4269_434,0.86948,NA
E3943_317,NA,0.63454
E4556_170,NA,0.33936
E633_73,0.14458,NA
E4027_434,0.86948,NA
E4847_428,NA,0.85743
E1226_414,0.82932,NA
E4802_106,NA,0.21084
E1019_272,NA,0.54418
E3643_18,NA,0.03414
E2472_301,0.60241,NA
E2612_443,NA,0.88755
E4766_107,NA,0.21285
E3049_90,NA,0.17871
E4336_255,NA,0.51004
E1653_252,0.50402,NA
E147_481,NA,0.96386
E4934_51,0.1004,NA
E2998_73,0.14458,NA
E3212_418,NA,0.83735
E849_174,0.34739,NA
E3179_288,0.57631,NA
E783_287,0.5743,NA
E2938_89,0.17671,NA
E886_495,NA,0.99197
E1439_329,NA,0.65863
E4747_300,0.6004,NA
E2703_245,0.48996,NA
E3593_100,0.1988,NA
E3863_271,NA,0.54217
E936_132,0.26305,NA
E1884_292,NA,0.58434
E3558_460,NA,0.92169
E192_106,0.21084,NA
E113_193,NA,0.38554
E4301_68,0.13454,NA
E3725_228,0.45582,NA
E2492_435,0.87149,NA
E1933_134,NA,0.26707
E2982_321,NA,0.64257
E97_198,0.39558,NA
E1449_93,0.18474,NA
E3284_497,0.99598,NA
E4972_42,0.08233,NA
E2646_393,0.78715,NA
E2627_260,NA,0.52008
E2792_438,0.87751,NA
E2944_94,NA,0.18675
E2660_64,NA,0.12651
E553_17,0.03213,NA
E1612_462,NA,0.9257
E504_350,0.7008,NA
E4391_176,0.35141,NA
E2121_142,0.28313,NA
E13_84,0.16667,NA
E64_438,NA,0.87751
E2009_471,0.94378,NA
E2360_18,NA,0.03414
E4667_159,0.31727,NA
E4271_363,0.72691,NA
E2158_318,0.63655,NA
E721_367,NA,0.73494
E4856_352,0.70482,NA
E3161_79,NA,0.15663
E1233_103,NA,0.20482
E1753_468,NA,0.93775
E4665_272,0.54418,NA
E3107_400,0.8012,NA
E1023_225,0.4498,NA
E2209_238,0.4759,NA
E55_368,0.73695,NA
E510_239,0.47791,NA
E2181_44,0.08635,NA
E4470_92,NA,0.18273
E4022_26,NA,0.0502
E3029_355,0.71084,NA
E3942_67,0.13253,NA
E1457_496,NA,0.99398
E4593_125,0.249,NA
E2592_28,NA,0.05422
E2718_315,0.63052,NA
E922_29,NA,0.05622
E2276_271,0.54217,NA
E3114_53,0.10442,NA
E341_419,0.83936,NA
E2020_454,NA,0.90964
E4443_95,NA,0.18876
E4911_425,NA,0.85141
E4954_32,0.06225,NA
E348_149,0.29719,NA
E2396_273,0.54618,NA
E4265_415,NA,0.83133
E817_399,NA,0.7992
E3525_371,0.74297,NA
E1062_429,NA,0.85944
E2267_344,NA,0.68876
E1834_108,0.21486,NA
E3937_15,0.02811,NA
E542_133,0.26506,NA
E1220_440,NA,0.88153
E4882_323,0.64659,NA
E919_233,0.46586,NA
E4212_397,0.79518,NA
E3787_297,0.59438,NA
E210_345,NA,0.69076
E4735_272,0.54418,NA
E4864_13,NA,0.0241
E3602_194,0.38755,NA
E2167_388,0.77711,NA
E2494_373,NA,0.74699
E4828_131,0.26104,NA
E1716_44,NA,0.08635
E165_368,0.73695,NA
E1567_236,NA,0.47189
E3303_484,NA,0.96988
E184_466,NA,0.93373
E1288_315,NA,0.63052
E636_35,NA,0.06827
E362_239,0.47791,NA
E225_325,0.6506,NA
E8_457,NA,0.91566
E2234_387,0.7751,NA
E2005_285,0.57028,NA
E4860_323,NA,0.64659
E4755_169,0.33735,NA
E1482_465,NA,0.93173
E168_386,0.77309,NA
E3936_413,NA,0.82731
E2051_34,NA,0.06627
E4800_203,NA,0.40562
E737_431,0.86345,NA
E317_195,NA,0.38956
E2044_37,0.07229,NA
E4611_343,0.68675,NA
E1691_382,0.76506,NA
E4794_158,0.31526,NA
E4758_480,NA,0.96185
E1262_1,0.0,NA
E378_466,0.93373,NA
E4740_354,NA,0.70884
E1674_445,0.89157,NA
E1631_162,NA,0.32329
E386_255,NA,0.51004
E4631_452,0.90562,NA
E1347_41,NA,0.08032
E3838_260,NA,0.52008
E4002_232,NA,0.46386
E2834_316,0.63253,NA
E3132_171,NA,0.34137
E3988_122,NA,0.24297
E1623_387,NA,0.7751
E4092_455,0.91165,NA
E622_154,NA,0.30723
E4401_421,0.84337,NA
E2479_213,0.4257,NA
E2927_401,0.80321,NA
E4629_347,0.69478,NA
E481_367,NA,0.73494
E4069_83,0.16466,NA
E1359_277,0.55422,NA
E4789_94,NA,0.18675
E803_95,0.18876,NA
E2649_316,0.63253,NA
E863_193,NA,0.38554
E2510_465,0.93173,NA
E4263_289,NA,0.57831
E1785_195,NA,0.38956
E3809_137,NA,0.27309
E582_139,NA,0.27711
E3798_75,0.14859,NA
E667_452,NA,0.90562
E720_347,NA,0.69478
E3378_163,0.3253,NA
E891_133,NA,0.26506
E4473_325,0.6506,NA
E2522_42,0.08233,NA
E1539_446,NA,0.89357
E1497_434,0.86948,NA
E153_84,NA,0.16667
E2611_248,0.49598,NA
E4012_213,0.4257,NA
E543_197,0.39357,NA
E216_278,NA,0.55622
E1460_123,NA,0.24498
E632_439,0.87952,NA
E3989_266,0.53213,NA
E2757_298,NA,0.59639
E2601_340,0.68072,NA
E3523_457,NA,0.91566
E3683_297,0.59438,NA
E131_374,NA,0.749
E1052_372,NA,0.74498
E3290_455,NA,0.91165
E3689_306,NA,0.61245
E650_361,NA,0.72289
E3655_195,0.38956,NA
E4688_389,0.77912,NA
E947_231,0.46185,NA
E4544_67,NA,0.13253
E589_95,0.18876,NA
E1475_449,0.8996,NA
E824_64,0.12651,NA
E1608_86,0.17068,NA
E4013_325,0.6506,NA
E3096_448,0.89759,NA
E4863_344,0.68876,NA
E2303_165,0.32932,NA
E2335_295,NA,0.59036
E3167_90,0.17871,NA
E1217_107,NA,0.21285
E2352_189,0.37751,NA
E3575_283,0.56627,NA
E4004_85,NA,0.16867
E1984_339,NA,0.67871
E3376_66,0.13052,NA
E2555_129,0.25703,NA
E3097_263,NA,0.5261
E1794_446,0.89357,NA
E4859_87,NA,0.17269
E3646_166,NA,0.33133
E3067_324,NA,0.64859
E2802_439,0.87952,NA
E3038_304,0.60843,NA
E1433_415,0.83133,NA
E1128_244,NA,0.48795
E1553_423,0.84739,NA
E4120_314,0.62851,NA
E508_261,0.52209,NA
E4876_167,0.33333,NA
E2901_420,0.84137,NA
E2064_174,NA,0.34739
E4453_255,NA,0.51004
E866_3,NA,0.00402
E2142_497,0.99598,NA
E1051_497,NA,0.99598
E1765_190,0.37952,NA
E4240_239,NA,0.47791
E3229_390,NA,0.78112
E3208_421,NA,0.84337
E4340_233,NA,0.46586
E4359_58,NA,0.11446
E4622_179,0.35743,NA
E2748_356,0.71285,NA
E1153_448,NA,0.89759
E3819_139,NA,0.27711
E1694_261,0.52209,NA
E283_307,NA,0.61446
E142_179,0.35743,NA
E1350_311,0.62249,NA
E155_330,0.66064,NA
E723_424,NA,0.8494
E1330_475,0.95181,NA
E1280_97,0.19277,NA
E4753_116,NA,0.23092
E473_176,0.35141,NA
E1191_36,0.07028,NA
E1809_377,0.75502,NA
E1333_138,0.2751,NA
E1055_242,NA,0.48394
E1793_163,NA,0.3253
E3301_468,0.93775,NA
E4539_290,0.58032,NA
E452_25,NA,0.04819
E975_55,0.10843,NA
E1448_286,NA,0.57229
E3668_152,NA,0.30321
E1034_370,NA,0.74096
E1772_164,NA,0.32731
E1929_73,0.14458,NA
E3703_253,0.50602,NA
E778_4,0.00602,NA
E291_234,0.46787,NA
E998_432,0.86546,NA
E4234_39,0.07631,NA
E1701_40,0.07831,NA
E4147_425,NA,0.85141
E3547_438,NA,0.87751
E3598_89,NA,0.17671
E4804_167,NA,0.33333
E2031_468,0.93775,NA
E4991_265,NA,0.53012
E233_248,NA,0.49598
E2860_106,NA,0.21084
E4570_295,0.59036,NA
E2824_134,0.26707,NA
E3585_28,NA,0.05422
E1031_287,NA,0.5743
E1337_116,0.23092,NA
E1394_367,0.73494,NA
E1160_335,NA,0.67068
E4694_91,NA,0.18072
E3235_244,NA,0.48795
E2828_194,NA,0.38755
E3389_174,NA,0.34739
E505_339,0.67871,NA
E3259_180,NA,0.35944
E2854_235,NA,0.46988
E4221_462,0.9257,NA
E1380_167,NA,0.33333
E4920_498,NA,0.99799
E4871_187,0.37349,NA
E688_436,0.87349,NA
E4306_355,0.71084,NA
E1569_463,0.92771,NA
E1710_395,0.79116,NA
E4373_253,NA,0.50602
E3143_484,NA,0.96988
E3686_496,NA,0.99398
E2353_244,NA,0.48795
E3506_39,NA,0.07631
E3530_201,NA,0.40161
E2771_234,0.46787,NA
E3640_84,0.16667,NA
E520_374,0.749,NA
E1328_496,NA,0.99398
E1850_152,NA,0.30321
E1616_115,NA,0.22892
E1107_141,0.28112,NA
E3138_47,NA,0.09237
E2174_195,NA,0.38956
E959_20,0.03815,NA
E791_379,0.75904,NA
E4384_85,NA,0.16867
E3750_145,0.28916,NA
E1302_499,1.0,NA
E1476_373,0.74699,NA
E4213_93,NA,0.18474
E2651_174,NA,0.34739
E3274_51,0.1004,NA
E3949_407,0.81526,NA
E3215_194,0.38755,NA
E2452_466,NA,0.93373
E1988_34,NA,0.06627
E1688_7,0.01205,NA
E412_214,NA,0.42771
E2431_218,NA,0.43574
E3146_349,NA,0.6988
E4114_231,NA,0.46185
E480_187,NA,0.37349
E2144_494,0.98996,NA
E3486_496,0.99398,NA
E2176_288,NA,0.57631
E1875_250,NA,0.5
E4196_246,0.49197,NA
E4638_13,NA,0.0241
E3713_429,NA,0.85944
E1104_436,0.87349,NA
E1027_153,NA,0.30522
E2520_240,0.47992,NA
E312_163,NA,0.3253
E2151_376,0.75301,NA
E1385_34,0.06627,NA
E3422_54,NA,0.10643
E759_208,NA,0.41566
E2194_424,0.8494,NA
E195_437,0.8755,NA
E3467_346,NA,0.69277
E4578_101,NA,0.2008
E1618_79,NA,0.15663
E2597_288,NA,0.57631
E3947_346,NA,0.69277
E962_131,0.26104,NA
E369_346,NA,0.69277
E2689_138,NA,0.2751
E3168_460,0.92169,NA
E4021_256,NA,0.51205
E4140_452,NA,0.90562
E4889_417,0.83534,NA
E2843_346,0.69277,NA
E2842_466,0.93373,NA
E889_406,0.81325,NA
E3587_487,0.9759,NA
E929_252,NA,0.50402
E856_38,NA,0.0743
E2567_114,0.22691,NA
E400_142,0.28313,NA
E1416_390,NA,0.78112
E2837_188,NA,0.3755
E3748_445,0.89157,NA
E755_66,0.13052,NA
E4507_193,NA,0.38554
E3263_273,NA,0.54618
E1652_88,0.1747,NA
E4822_323,NA,0.64659
E1681_340,NA,0.68072
E4826_179,NA,0.35743
E1381_184,0.36747,NA
E3069_272,0.54418,NA
E4960_141,NA,0.28112
E2636_376,0.75301,NA
E3849_483,0.96787,NA
E3818_440,NA,0.88153
E4471_336,0.67269,NA
E3962_120,0.23896,NA
E2517_110,0.21888,NA
E4791_75,NA,0.14859
E190_330,NA,0.66064
E4417_373,0.74699,NA
E2909_292,0.58434,NA
E159_202,NA,0.40361
E3448_9,0.01606,NA
E4299_10,NA,0.01807
E1656_270,NA,0.54016
E536_141,NA,0.28112
E2598_307,0.61446,NA
E2217_288,0.57631,NA
E3615_306,0.61245,NA
E2976_491,NA,0.98394
E1189_207,NA,0.41365
E1228_275,NA,0.5502
E3847_111,NA,0.22088
E915_316,0.63253,NA
E4386_100,NA,0.1988
E3747_281,0.56225,NA
E1704_49,NA,0.09639
E4526_9,0.01606,NA
E2707_105,NA,0.20884
E441_56,0.11044,NA
E3164_318,0.63655,NA
E0_193,NA,0.38554
E4848_94,NA,0.18675
E1281_344,NA,0.68876
E3227_438,NA,0.87751
E3426_179,0.35743,NA
E3051_162,NA,0.32329
E2789_421,0.84337,NA
E1536_236,NA,0.47189
E904_66,NA,0.13052
E4179_49,NA,0.09639
E1717_41,NA,0.08032
E1075_153,NA,0.30522
E570_278,0.55622,NA
E2189_496,0.99398,NA
E3508_66,NA,0.13052
E4687_284,0.56827,NA
E4085_307,0.61446,NA
E1074_249,NA,0.49799
E357_343,0.68675,NA
E3953_108,NA,0.21486
E4098_335,0.67068,NA
E1040_433,0.86747,NA
E3627_215,NA,0.42972
E2219_425,0.85141,NA
E4148_117,NA,0.23293
E1858_283,NA,0.56627
E2010_134,NA,0.26707
E4709_223,0.44578,NA
E4790_250,NA,0.5
E3116_289,NA,0.57831
E1563_172,0.34337,NA
E4528_391,NA,0.78313
E1003_235,NA,0.46988
E3418_51,NA,0.1004
E3399_188,NA,0.3755
E614_11,NA,0.02008
E3295_284,NA,0.56827
E3559_342,NA,0.68474
E4082_317,0.63454,NA
E3817_135,0.26908,NA
E540_354,0.70884,NA
E1083_62,0.12249,NA
E776_388,NA,0.77711
E1852_339,NA,0.67871
E1405_19,NA,0.03614
E1947_161,NA,0.32129
E858_58,0.11446,NA
E3911_90,0.17871,NA
E1249_197,0.39357,NA
E816_128,0.25502,NA
E4959_179,NA,0.35743
E4738_390,NA,0.78112
E3661_368,NA,0.73695
E4083_99,NA,0.19679
E3234_368,NA,0.73695
E2199_424,0.8494,NA
E1643_147,0.29317,NA
E4311_471,0.94378,NA
E1444_289,0.57831,NA
E535_78,0.15462,NA
E768_30,0.05823,NA
E2747_455,NA,0.91165
E1434_498,0.99799,NA
E4247_385,NA,0.77108
E1078_264,0.52811,NA
E3460_8,0.01406,NA
E2008_31,0.06024,NA
E4123_440,0.88153,NA
E2595_234,NA,0.46787
E2641_272,0.54418,NA
E141_115,NA,0.22892
E4536_446,NA,0.89357
E1150_225,NA,0.4498
E4378_318,0.63655,NA
E3463_322,0.64458,NA
E1070_342,NA,0.68474
E874_318,NA,0.63655
E4744_313,0.62651,NA
E328_168,NA,0.33534
E2478_358,NA,0.71687
E4130_403,NA,0.80723
E2654_343,0.68675,NA
E3109_280,NA,0.56024
E3149_345,NA,0.69076
E3722_316,NA,0.63253
E523_179,NA,0.35743
E4616_57,NA,0.11245
E3548_11,NA,0.02008
E158_374,0.749,NA
E503_404,0.80924,NA
E477_428,NA,0.85743
E4227_395,0.79116,NA
E1975_8,NA,0.01406
E2012_465,0.93173,NA
E2794_309,0.61847,NA
E1897_478,NA,0.95783
E593_202,NA,0.40361
E629_313,NA,0.62651
E4496_6,NA,0.01004
E2104_110,NA,0.21888
E4493_294,NA,0.58835
E4369_277,NA,0.55422
E3079_137,0.27309,NA
E242_193,0.38554,NA
E4558_315,NA,0.63052
E793_222,0.44378,NA
E1403_334,0.66867,NA
E3990_342,0.68474,NA
E3193_480,NA,0.96185
E72_273,0.54618,NA
E1780_165,NA,0.32932
E2273_152,NA,0.30321
E4295_69,0.13655,NA
E2906_378,NA,0.75703
E3624_377,NA,0.75502
E1937_305,NA,0.61044
E288_297,0.59438,NA
E1046_266,NA,0.53213
E2256_397,0.79518,NA
E3556_359,0.71888,NA
E639_491,NA,0.98394
E4943_203,NA,0.40562
E3239_64,NA,0.12651
E2286_115,0.22892,NA
E1458_56,0.11044,NA
E71_401,0.80321,NA
E4853_268,0.53614,NA
E522_64,NA,0.12651
E351_433,NA,0.86747
E3915_156,0.31124,NA
E2094_429,0.85944,NA
E3767_207,0.41365,NA
E2856_432,NA,0.86546
E2063_407,0.81526,NA
E2644_355,NA,0.71084
E2655_373,0.74699,NA
E1432_97,NA,0.19277
E3443_136,0.27108,NA
E3061_60,0.11847,NA
E2615_61,NA,0.12048
E3084_153,0.30522,NA
E2633_448,0.89759,NA
E718_116,0.23092,NA
E180_296,0.59237,NA
E445_383,0.76707,NA
E2440_249,NA,0.49799
E1237_3,NA,0.00402
E771_14,NA,0.0261
E2203_316,NA,0.63253
E152_28,NA,0.05422
E2165_34,NA,0.06627
E181_465,0.93173,NA
E226_445,NA,0.89157
E743_148,NA,0.29518
E4685_260,NA,0.52008
E3662_181,NA,0.36145
E1129_8,0.01406,NA
E4015_39,NA,0.07631
E3088_412,NA,0.8253
E2714_460,NA,0.92169
E1740_436,NA,0.87349
E4302_443,0.88755,NA
E3797_460,NA,0.92169
E1219_36,0.07028,NA
E2652_434,0.86948,NA
E4297_353,NA,0.70683
E2541_117,NA,0.23293
E4529_485,NA,0.97189
E777_42,NA,0.08233
E1133_156,NA,0.31124
E4186_336,NA,0.67269
E4077_374,0.749,NA
E2393_374,NA,0.749
E1143_71,0.14056,NA
E985_223,NA,0.44578
E4165_412,0.8253,NA
E3580_98,0.19478,NA
E3110_211,0.42169,NA
E511_18,0.03414,NA
E3739_321,NA,0.64257
E1805_353,0.70683,NA
E2304_473,0.94779,NA
E860_157,NA,0.31325
E4347_49,NA,0.09639
E916_77,0.15261,NA
E1799_30,NA,0.05823
E554_352,NA,0.70482
E4397_240,0.47992,NA
E3095_416,0.83333,NA
E756_356,0.71285,NA
E4346_289,NA,0.57831
E1342_320,NA,0.64056
E2073_294,0.58835,NA
E4072_357,NA,0.71486
E4377_262,0.5241,NA
E1320_381,NA,0.76305
E4624_278,NA,0.55622
E3910_489,0.97992,NA
E2485_386,NA,0.77309
E4273_450,0.90161,NA
E736_58,NA,0.11446
E2272_108,NA,0.21486
E1284_435,NA,0.87149
E3595_387,0.7751,NA
E1041_17,NA,0.03213
E604_36,NA,0.07028
E1079_280,NA,0.56024
E1583_400,0.8012,NA
E2872_495,0.99197,NA
E4919_414,0.82932,NA
E1419_70,0.13855,NA
E4793_375,0.751,NA
E2344_126,0.251,NA
E3419_161,NA,0.32129
E327_169,NA,0.33735
E1446_193,0.38554,NA
E4279_184,NA,0.36747
E3496_440,0.88153,NA
E2514_455,0.91165,NA
E1837_11,NA,0.02008
E2658_166,0.33133,NA
E1187_442,NA,0.88554
E1215_312,0.6245,NA
E2206_360,0.72088,NA
E4806_202,NA,0.40361
E742_220,0.43976,NA
E1479_50,NA,0.09839
E2212_166,0.33133,NA
E241_206,0.41165,NA
E85_135,0.26908,NA
E1255_170,NA,0.33936
E2279_282,0.56426,NA
E750_249,NA,0.49799
E3532_324,0.64859,NA
E2097_63,0.1245,NA
E4713_204,NA,0.40763
E530_288,0.57631,NA
E4166_410,NA,0.82129
E2140_34,0.06627,NA
E1312_318,0.63655,NA
E2782_128,0.25502,NA
E4053_232,NA,0.46386
E4019_19,NA,0.03614
E1784_15,0.02811,NA
E3626_401,NA,0.80321
E1126_341,NA,0.68273
E1489_60,0.11847,NA
E3822_366,NA,0.73293
E2781_264,NA,0.52811
E1981_118,0.23494,NA
E2671_41,0.08032,NA
E682_298,NA,0.59639
E1605_52,0.10241,NA
E2995_156,NA,0.31124
E3658_429,0.85944,NA
E358_45,NA,0.08835
E2897_236,0.47189,NA
E584_36,0.07028,NA
E438_36,NA,0.07028
E532_43,0.08434,NA
E3676_305,NA,0.61044
E3932_262,0.5241,NA
E3491_375,NA,0.751
E2753_498,0.99799,NA
E2663_346,NA,0.69277
E4657_324,NA,0.64859
E3890_438,0.87751,NA
E1800_201,NA,0.40161
E3918_75,NA,0.14859
E4582_441,0.88353,NA
E237_205,NA,0.40964
E949_357,NA,0.71486
E1901_27,0.05221,NA
E4691_473,0.94779,NA
E2983_479,0.95984,NA
E3766_201,NA,0.40161
E1633_234,0.46787,NA
E3429_384,NA,0.76908
E4465_302,NA,0.60442
E3644_386,NA,0.77309
E3567_459,NA,0.91968
E2591_391,0.78313,NA
E2297_15,NA,0.02811
E872_116,NA,0.23092
E2736_286,NA,0.57229
E4757_430,0.86145,NA
E3878_167,0.33333,NA
E1835_345,NA,0.69076
E2565_343,0.68675,NA
E1791_355,0.71084,NA
E1398_324,0.64859,NA
E729_327,0.65462,NA
E3562_377,0.75502,NA
E2147_34,NA,0.06627
E1634_82,NA,0.16265
E1500_219,0.43775,NA
E6_73,0.14458,NA
E4045_156,0.31124,NA
E4182_429,NA,0.85944
E1392_437,0.8755,NA
E731_20,NA,0.03815
E3513_339,0.67871,NA
E867_286,NA,0.57229
E931_415,0.83133,NA
E4106_208,0.41566,NA
E2503_498,NA,0.99799
E746_404,0.80924,NA
E2935_471,NA,0.94378
E752_396,NA,0.79317
E613_474,0.9498,NA
E2499_103,NA,0.20482
E806_313,NA,0.62651
E3291_26,NA,0.0502
E3237_226,NA,0.45181
E127_127,0.25301,NA
E2365_429,NA,0.85944
E3268_285,NA,0.57028
E3895_200,0.3996,NA
E1584_451,0.90361,NA
E100_166,0.33133,NA
E2899_42,NA,0.08233
E91_132,0.26305,NA
E787_400,NA,0.8012
E2470_151,0.3012,NA
E4560_208,NA,0.41566
E3883_448,NA,0.89759
E3299_85,NA,0.16867
E4497_194,0.38755,NA
E3679_494,0.98996,NA
E4809_75,NA,0.14859
E2542_322,NA,0.64458
E3728_83,0.16466,NA
E3743_105,NA,0.20884
E334_43,0.08434,NA
E1222_279,NA,0.55823
E968_11,0.02008,NA
E2621_483,NA,0.96787
E387_55,NA,0.10843
E2394_366,NA,0.73293
E1972_406,NA,0.81325
E2863_152,0.30321,NA
E4245_100,0.1988,NA
E4868_388,NA,0.77711
E3934_421,NA,0.84337
E125_230,0.45984,NA
E4899_277,0.55422,NA
E389_172,0.34337,NA
E2578_356,0.71285,NA
E39_174,0.34739,NA
E1527_171,0.34137,NA
E4588_351,0.70281,NA
E1192_150,0.2992,NA
E4908_446,NA,0.89357
E2042_118,0.23494,NA
E2163_375,NA,0.751
E3663_287,0.5743,NA
E4291_276,NA,0.55221
E4031_154,NA,0.30723
E14_222,NA,0.44378
E3026_94,0.18675,NA
E256_273,0.54618,NA
E4730_385,0.77108,NA
E652_207,NA,0.41365
E3993_436,NA,0.87349
E3328_55,NA,0.10843
E2875_241,0.48193,NA
E521_115,NA,0.22892
E2152_465,NA,0.93173
E601_17,NA,0.03213
E1839_384,NA,0.76908
E3906_426,NA,0.85341
E1242_272,NA,0.54418
E3341_366,0.73293,NA
E3733_494,NA,0.98996
E41_444,0.88956,NA
E4430_419,0.83936,NA
E392_395,NA,0.79116
E1181_408,0.81727,NA
E4108_463,NA,0.92771
E122_243,NA,0.48594
E272_319,NA,0.63855
E2078_470,NA,0.94177
E2908_202,NA,0.40361
E1466_493,0.98795,NA
E4333_178,0.35542,NA
E4170_83,NA,0.16466
E2003_123,0.24498,NA
E4363_107,0.21285,NA
E2410_97,0.19277,NA
E3134_479,0.95984,NA
E4704_373,NA,0.74699
E2474_415,0.83133,NA
E873_269,0.53815,NA
E538_356,NA,0.71285
E3528_313,NA,0.62651
E4784_467,NA,0.93574
E3282_255,NA,0.51004
E1587_471,NA,0.94378
E4202_416,NA,0.83333
E1022_226,0.45181,NA
E2545_99,0.19679,NA
E4344_81,0.16064,NA
E4156_303,NA,0.60643
E4605_387,0.7751,NA
E528_348,NA,0.69679
E2315_60,NA,0.11847
E4677_358,NA,0.71687
E1279_347,0.69478,NA
E2540_275,NA,0.5502
E2942_368,NA,0.73695
E1550_159,0.31727,NA
E4916_262,NA,0.5241
E4787_390,0.78112,NA
E956_262,NA,0.5241
E1300_216,NA,0.43173
E2853_106,NA,0.21084
E2975_413,NA,0.82731
E2734_317,NA,0.63454
E2155_476,0.95382,NA
E2246_365,NA,0.73092
E2160_125,NA,0.249
E4158_5,NA,0.00803
E3021_486,NA,0.9739
E3409_250,0.5,NA
E2743_145,0.28916,NA
E3755_198,0.39558,NA
E3970_26,0.0502,NA
E2025_28,NA,0.05422
E2123_277,NA,0.55422
E875_390,NA,0.78112
E4451_23,0.04418,NA
E1895_416,NA,0.83333
E4654_12,0.02209,NA
E3940_214,0.42771,NA
